,L,Beta,Sheet ID,Sheet Name,N, Eigen Value1, Eigen Value2, Eigen Value3, Eigen Value4, Eigen Value5, Eigen Value6, Eigen Value7, Eigen Value8
86,6,0.8,9,random p=0.6000000000000001,200,0.0,40000.0,0.0,40000.0,40000.0,80000.0,200000.0,43280000.0
87,6,0.8,10,random p=0.7000000000000001,200,15278.640450004204,104721.35954999579,0.0,40000.0,40000.0,0.0,40000.0,81040000.0
88,6,0.9,0,horizontal,1200,817521.5904262454,1235866.9789782343,1386611.4305955188,0.0,0.0,0.0,0.0,64560000.0
89,6,0.9,1,vertical,1200,3489239.888845032,637274.9555301771,1233485.1556247897,0.0,0.0,0.0,0.0,317840000.0
90,6,0.9,2,h and v,7200,35988422.91812005,39895.98904939909,8540560.51301783,4351120.579812721,0.0,0.0,0.0,976600000.0
91,6,0.9,3,random p=0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
92,6,0.9,4,random p=0.1,200,135278.6404500042,224721.3595499958,0.0,0.0,0.0,0.0,120000.0,47760000.0
93,6,0.9,5,random p=0.2,200,104721.3595499958,15278.640450004208,0.0,40000.0,40000.0,40000.0,0.0,95200000.0
94,6,0.9,6,random p=0.30000000000000004,200,292111.0255092798,147888.97449072023,0.0,0.0,0.0,200000.0,0.0,29280000.0
95,6,0.9,7,random p=0.4,200,0.0,40000.0,0.0,120000.0,40000.0,40000.0,80000.0,43120000.0
96,6,0.9,8,random p=0.5,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
97,6,0.9,9,random p=0.6000000000000001,200,200000.0,120000.0,0.0,0.0,0.0,0.0,160000.0,58880000.0
98,6,0.9,10,random p=0.7000000000000001,200,15278.640450004204,104721.35954999579,0.0,40000.0,40000.0,0.0,40000.0,43600000.0
