,L,Beta,Sheet ID,Sheet Name,N,Eigen Values1,Eigen Values2,Eigen Values3,Eigen Values4,Eigen Values5,Eigen Values6,Eigen Values7,Eigen Values8
84,5,0.8,7,random p=0.4,200,15278.640450004204,104721.35954999579,0.0,40000.0,40000.0,0.0,40000.0,19680000.0
85,5,0.8,8,random p=0.5,200,95278.6404500042,184721.3595499958,0.0,0.0,40000.0,40000.0,120000.0,18000000.0
86,5,0.8,9,random p=0.6000000000000001,200,0.0,0.0,40000.0,80000.0,40000.0,40000.0,40000.0,29840000.0
87,5,0.8,10,random p=0.7000000000000001,200,0.0,40000.0,40000.0,80000.0,0.0,0.0,80000.0,19200000.0
88,5,0.9,0,horizontal,1000,1498542.0576523733,1103140.3013628908,518317.64098473603,0.0,0.0,0.0,0.0,42560000.0
89,5,0.9,1,vertical,1000,6677499.959443342,678383.3688204987,1604116.6717361563,0.0,0.0,0.0,0.0,308880000.0
90,5,0.9,2,h and v,5000,26003174.447882734,5226347.083016128,2454513.7782350564,78634.32498024394,37330.3658858548,0.0,0.0,432920000.0
91,5,0.9,3,random p=0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
92,5,0.9,4,random p=0.1,200,103431.45750507622,216568.5424949238,160000.0,0.0,0.0,0.0,0.0,8400000.0
93,5,0.9,5,random p=0.2,200,209442.7190999916,30557.280900008416,0.0,40000.0,40000.0,0.0,80000.0,36880000.0
94,5,0.9,6,random p=0.30000000000000004,200,172111.0255092798,27888.974490720215,0.0,0.0,40000.0,40000.0,40000.0,41920000.0
95,5,0.9,7,random p=0.4,200,0.0,40000.0,40000.0,40000.0,0.0,0.0,200000.0,77440000.0
96,5,0.9,8,random p=0.5,200,90717.96769724498,229282.03230275508,160000.00000000006,0.0,0.0,0.0,0.0,21200000.0
97,5,0.9,9,random p=0.6000000000000001,200,0.0,40000.0,0.0,40000.0,40000.0,80000.0,40000.0,33360000.0
98,5,0.9,10,random p=0.7000000000000001,200,0.0,0.0,40000.0,120000.0,40000.0,40000.0,80000.0,16960000.0
